@relation data1-weka.filters.unsupervised.attribute.NumericToNominal-R3

@attribute a numeric
@attribute b numeric
@attribute result {0,1}

@data
34.62366,78.024693,0
30.286711,43.894998,0
35.847409,72.902198,0
60.182599,86.308552,1
79.032736,75.344376,1
45.083277,56.316372,0
61.106665,96.511426,1
75.024746,46.554014,1
76.098787,87.42057,1
84.43282,43.533393,1
95.861555,38.225278,0
75.013658,30.603263,0
82.307053,76.481963,1
69.364589,97.718692,1
39.538339,76.036811,0
53.971052,89.20735,1
69.070144,52.74047,1
67.946855,46.678574,0
70.66151,92.927138,1
76.978784,47.575964,1
67.372028,42.838438,0
89.676776,65.799366,1
50.534788,48.855812,0
34.212061,44.209529,0
77.924091,68.97236,1
62.271014,69.954458,1
80.190181,44.821629,1
93.114389,38.80067,0
61.830206,50.256108,0
38.785804,64.995681,0
61.379289,72.807887,1
85.404519,57.051984,1
52.10798,63.127624,0
52.045405,69.43286,1
40.236894,71.167748,0
54.635106,52.213886,0
33.9155,98.869436,0
64.176989,80.908061,1
74.789253,41.573415,0
34.18364,75.23772,0
83.902394,56.308046,1
51.54772,46.85629,0
94.443368,65.568922,1
82.368754,40.618255,0
51.047752,45.822701,0
62.222676,52.060992,0
77.193035,70.4582,1
97.771599,86.727822,1
62.073064,96.768824,1
91.564974,88.696293,1
79.944818,74.163119,1
99.272527,60.999031,1
90.546714,43.390602,1
34.524514,60.396342,0
50.286496,49.804539,0
49.586677,59.808951,0
97.645634,68.861573,1
32.5772,95.598548,0
74.248691,69.824571,1
71.796462,78.453562,1
75.395611,85.759937,1
35.286113,47.020514,0
56.253817,39.261473,0
30.058822,49.592974,0
44.668262,66.450086,0
66.560894,41.092098,0
40.457551,97.535185,1
49.072563,51.883212,0
80.279574,92.116061,1
66.746719,60.991394,1
32.722833,43.307173,0
64.03932,78.031688,1
72.346494,96.227593,1
60.457886,73.094998,1
58.840956,75.858448,1
99.827858,72.369252,1
47.264269,88.475865,1
50.45816,75.80986,1
60.455556,42.508409,0
82.226662,42.719879,0
88.913896,69.803789,1
94.834507,45.694307,1
67.319257,66.589353,1
57.238706,59.514282,1
80.366756,90.960148,1
68.468522,85.594307,1
42.075455,78.844786,0
75.477702,90.424539,1
78.635424,96.647427,1
52.348004,60.769505,0
94.094331,77.159105,1
90.448551,87.508792,1
55.482161,35.570703,0
74.492692,84.845137,1
89.845807,45.358284,1
83.489163,48.380286,1
42.261701,87.103851,1
99.315009,68.775409,1
55.340018,64.931938,1
74.775893,89.529813,1
