@relation data2_new

@attribute a numeric
@attribute b numeric
@attribute result {0,1}
@attribute a0b6 numeric
@attribute a1b5 numeric
@attribute a2b4 numeric
@attribute a3b3 numeric
@attribute a4b2 numeric
@attribute a5b1 numeric
@attribute a6b0 numeric

@data
0.051267,0.69956,1,0.117206,0.008589,0.000629,0.000046,0.000003,0,0
-0.092742,0.68494,1,0.103256,-0.013981,0.001893,-0.000256,0.000035,-0.000005,0.000001
-0.21371,0.69225,1,0.110047,-0.033973,0.010488,-0.003238,0.001,-0.000309,0.000095
-0.375,0.50219,1,0.01604,-0.011978,0.008944,-0.006679,0.004987,-0.003724,0.002781
-0.51325,0.46564,1,0.010193,-0.011235,0.012384,-0.01365,0.015046,-0.016584,0.01828
-0.52477,0.2098,1,0.000085,-0.000213,0.000534,-0.001335,0.003338,-0.008349,0.020884
-0.39804,0.034357,1,0,-0,0,-0.000003,0.00003,-0.000343,0.003977
-0.30588,-0.19225,1,0.00005,0.00008,0.000128,0.000203,0.000324,0.000515,0.000819
0.016705,-0.40424,1,0.004364,-0.00018,0.000007,-0,0,-0,0
0.13191,-0.51389,1,0.018417,-0.004727,0.001213,-0.000311,0.00008,-0.000021,0.000005
0.38537,-0.56506,1,0.032551,-0.0222,0.01514,-0.010326,0.007042,-0.004803,0.003275
0.52938,-0.5212,1,0.020046,-0.020361,0.02068,-0.021005,0.021334,-0.021669,0.022009
0.63882,-0.24342,1,0.000208,-0.000546,0.001433,-0.00376,0.009868,-0.025897,0.067963
0.73675,-0.18494,1,0.00004,-0.000159,0.000635,-0.00253,0.010077,-0.040145,0.159927
0.54666,0.48757,1,0.013435,0.015063,0.016888,0.018935,0.02123,0.023803,0.026687
0.322,0.5826,1,0.039104,0.021613,0.011945,0.006602,0.003649,0.002017,0.001115
0.16647,0.53874,1,0.02445,0.007555,0.002334,0.000721,0.000223,0.000069,0.000021
-0.046659,0.81652,1,0.296347,-0.016934,0.000968,-0.000055,0.000003,-0,0
-0.17339,0.69956,1,0.117206,-0.02905,0.0072,-0.001785,0.000442,-0.00011,0.000027
-0.47869,0.63377,1,0.064802,-0.048945,0.036969,-0.027923,0.02109,-0.01593,0.012032
-0.60541,0.59722,1,0.045374,-0.045996,0.046627,-0.047266,0.047915,-0.048572,0.049238
-0.62846,0.33406,1,0.00139,-0.002615,0.004919,-0.009254,0.017408,-0.03275,0.061612
-0.59389,0.005117,1,0,-0,0,-0,0.000003,-0.000378,0.043877
-0.42108,-0.27266,1,0.000411,0.000635,0.00098,0.001513,0.002337,0.003609,0.005574
-0.11578,-0.39693,1,0.003911,0.001141,0.000333,0.000097,0.000028,0.000008,0.000002
0.20104,-0.60161,1,0.047412,-0.015844,0.005295,-0.001769,0.000591,-0.000198,0.000066
0.46601,-0.53582,1,0.023665,-0.020582,0.017901,-0.015568,0.01354,-0.011776,0.010242
0.67339,-0.53582,1,0.023665,-0.029741,0.037377,-0.046974,0.059034,-0.074191,0.09324
-0.13882,0.54605,1,0.026509,-0.006739,0.001713,-0.000436,0.000111,-0.000028,0.000007
-0.29435,0.77997,1,0.225148,-0.084968,0.032066,-0.012101,0.004567,-0.001723,0.00065
-0.26555,0.96272,1,0.796159,-0.219607,0.060575,-0.016709,0.004609,-0.001271,0.000351
-0.16187,0.8019,1,0.265902,-0.053674,0.010835,-0.002187,0.000441,-0.000089,0.000018
-0.17339,0.64839,1,0.074305,-0.01987,0.005314,-0.001421,0.00038,-0.000102,0.000027
-0.28283,0.47295,1,0.011192,-0.006693,0.004002,-0.002393,0.001431,-0.000856,0.000512
-0.36348,0.31213,1,0.000925,-0.001077,0.001254,-0.00146,0.001701,-0.00198,0.002306
-0.30012,0.027047,1,0,-0,0,-0.000001,0.000006,-0.000066,0.000731
-0.23675,-0.21418,1,0.000097,0.000107,0.000118,0.00013,0.000144,0.000159,0.000176
-0.06394,-0.18494,1,0.00004,0.000014,0.000005,0.000002,0.000001,0,0
0.062788,-0.16301,1,0.000019,-0.000007,0.000003,-0.000001,0,-0,0
0.22984,-0.41155,1,0.004859,-0.002714,0.001515,-0.000846,0.000473,-0.000264,0.000147
0.2932,-0.2288,1,0.000143,-0.000184,0.000236,-0.000302,0.000387,-0.000496,0.000635
0.48329,-0.18494,1,0.00004,-0.000105,0.000273,-0.000714,0.001866,-0.004876,0.012742
0.64459,-0.14108,1,0.000008,-0.000036,0.000165,-0.000752,0.003436,-0.015699,0.07173
0.46025,0.012427,1,0,0,0,0,0.000007,0.000257,0.009505
0.6273,0.15863,1,0.000016,0.000063,0.000249,0.000985,0.003896,0.015409,0.060933
0.57546,0.26827,1,0.000373,0.0008,0.001715,0.003679,0.007892,0.01693,0.036315
0.72523,0.44371,1,0.007631,0.012473,0.020387,0.033322,0.054463,0.089018,0.145497
0.22408,0.52412,1,0.020729,0.008863,0.003789,0.00162,0.000693,0.000296,0.000127
0.44297,0.67032,1,0.090718,0.059949,0.039617,0.02618,0.017301,0.011433,0.007555
0.322,0.69225,1,0.110047,0.051188,0.02381,0.011075,0.005152,0.002396,0.001115
0.13767,0.57529,1,0.036251,0.008675,0.002076,0.000497,0.000119,0.000028,0.000007
-0.006336,0.39985,1,0.004087,-0.000065,0.000001,-0,0,-0,0
-0.092742,0.55336,1,0.028711,-0.004812,0.000806,-0.000135,0.000023,-0.000004,0.000001
-0.20795,0.35599,1,0.002035,-0.001189,0.000694,-0.000406,0.000237,-0.000138,0.000081
-0.20795,0.17325,1,0.000027,-0.000032,0.000039,-0.000047,0.000056,-0.000067,0.000081
-0.43836,0.21711,1,0.000105,-0.000211,0.000427,-0.000862,0.001741,-0.003514,0.007096
-0.21947,-0.016813,1,0,0,0,0,0.000001,0.000009,0.000112
-0.13882,-0.27266,1,0.000411,0.000209,0.000107,0.000054,0.000028,0.000014,0.000007
0.18376,0.93348,0,0.661653,0.13025,0.02564,0.005047,0.000994,0.000196,0.000039
0.22408,0.77997,0,0.225148,0.064683,0.018583,0.005339,0.001534,0.000441,0.000127
0.29896,0.61915,0,0.056335,0.027201,0.013134,0.006342,0.003062,0.001479,0.000714
0.50634,0.75804,0,0.189737,0.126737,0.084655,0.056546,0.037771,0.025229,0.016852
0.61578,0.7288,0,0.149848,0.12661,0.106976,0.090386,0.076369,0.064526,0.05452
0.60426,0.59722,0,0.045374,0.045909,0.04645,0.046997,0.047551,0.048112,0.048679
0.76555,0.50219,0,0.01604,0.024452,0.037275,0.056823,0.086622,0.132049,0.201299
0.92684,0.3633,0,0.002299,0.005866,0.014965,0.038178,0.097398,0.248479,0.633911
0.82316,0.27558,0,0.000438,0.001308,0.003908,0.011673,0.034868,0.104152,0.311104
0.96141,0.085526,0,0,0.000004,0.000049,0.000556,0.006249,0.070249,0.789681
0.93836,0.012427,0,0,0,0,0.000002,0.00012,0.009041,0.68268
0.86348,-0.082602,0,0,-0.000003,0.000035,-0.000363,0.003793,-0.039651,0.41449
0.89804,-0.20687,0,0.000078,-0.00034,0.001477,-0.006412,0.027834,-0.12083,0.524535
0.85196,-0.36769,0,0.002471,-0.005726,0.013267,-0.03074,0.071226,-0.165036,0.382398
0.82892,-0.5212,0,0.020046,-0.031881,0.050704,-0.08064,0.128251,-0.203971,0.324396
0.79435,-0.55775,0,0.030105,-0.042876,0.061064,-0.086967,0.123859,-0.1764,0.25123
0.59274,-0.7405,0,0.164873,-0.131974,0.10564,-0.084561,0.067687,-0.054181,0.04337
0.51786,-0.5943,0,0.044059,-0.038392,0.033454,-0.029151,0.025402,-0.022134,0.019287
0.46601,-0.41886,0,0.0054,-0.006008,0.006684,-0.007437,0.008274,-0.009205,0.010242
0.35081,-0.57968,0,0.037943,-0.022962,0.013896,-0.00841,0.005089,-0.00308,0.001864
0.28744,-0.76974,0,0.208,-0.077673,0.029005,-0.010831,0.004045,-0.00151,0.000564
0.085829,-0.75512,0,0.185394,-0.021072,0.002395,-0.000272,0.000031,-0.000004,0
0.14919,-0.57968,0,0.037943,-0.009765,0.002513,-0.000647,0.000166,-0.000043,0.000011
-0.13306,-0.4481,0,0.008096,0.002404,0.000714,0.000212,0.000063,0.000019,0.000006
-0.40956,-0.41155,0,0.004859,0.004835,0.004812,0.004789,0.004766,0.004743,0.00472
-0.39228,-0.25804,0,0.000295,0.000449,0.000682,0.001037,0.001577,0.002397,0.003644
-0.74366,-0.25804,0,0.000295,0.000851,0.002452,0.007066,0.020364,0.058689,0.16914
-0.69758,0.041667,0,0,-0,0.000001,-0.000025,0.000411,-0.006883,0.11523
-0.75518,0.2902,0,0.000597,-0.001554,0.004045,-0.010526,0.02739,-0.071277,0.185482
-0.69758,0.68494,0,0.103256,-0.105161,0.107102,-0.109079,0.111092,-0.113142,0.11523
-0.4038,0.70687,0,0.124749,-0.071263,0.040709,-0.023255,0.013284,-0.007589,0.004335
