@relation 'titanic_train_deal_1-weka.filters.unsupervised.attribute.NumericToNominal-R1,2,3,8,9,10,11,12,13-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R4-5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute Survived {0,1}
@attribute Pclass {1,2,3}
@attribute Sex {0,1}
@attribute Fare numeric
@attribute Cabin {0,1}
@attribute Embarked {S,C,Q}
@attribute sex_class {1,2,3,4,5,6}
@attribute age_class {1,2,3,4}
@attribute sibsp_class {1,2,3}
@attribute parch_class {1,2}

@data
0,3,0,0.014151,0,S,1,2,1,1
1,1,1,0.139136,1,C,6,3,1,1
1,3,1,0.015469,0,S,4,2,1,1
1,1,1,0.103644,1,S,6,3,1,1
0,3,0,0.015713,0,S,1,3,1,1
0,3,0,0.01651,0,Q,1,3,1,1
0,1,0,0.101229,1,S,3,4,1,1
0,3,0,0.041136,0,S,1,1,3,1
1,3,1,0.021731,0,S,4,2,1,1
1,2,1,0.058694,0,C,5,1,1,1
1,3,1,0.032596,1,S,4,1,1,1
1,1,1,0.051822,1,S,6,4,1,1
0,3,0,0.015713,0,S,1,2,1,1
0,3,0,0.061045,0,S,1,3,1,2
0,3,1,0.01533,0,S,4,1,1,1
1,2,1,0.03123,0,S,5,4,1,1
0,3,0,0.056848,0,Q,1,1,3,1
1,2,0,0.025374,0,S,2,3,1,1
0,3,1,0.035134,0,S,4,3,1,1
1,3,1,0.014102,0,C,4,3,1,1
0,2,0,0.050749,0,S,2,3,1,1
1,2,0,0.025374,1,S,2,3,1,1
1,3,1,0.015672,0,Q,4,2,1,1
1,1,0,0.069291,1,S,3,2,1,1
0,3,1,0.041136,0,S,4,1,3,1
1,3,1,0.061264,0,S,4,3,1,2
0,3,0,0.014102,0,C,1,3,1,1
0,1,0,0.513342,1,S,3,2,3,1
1,3,1,0.015379,0,Q,4,2,1,1
0,3,0,0.015412,0,S,1,3,1,1
0,1,0,0.054107,0,C,3,3,1,1
1,1,1,0.28599,1,C,6,3,1,1
1,3,1,0.015127,0,Q,4,2,1,1
0,2,0,0.020495,0,S,2,4,1,1
0,1,0,0.160387,0,C,3,2,1,1
0,1,0,0.101497,0,S,3,3,1,1
1,3,0,0.01411,0,C,1,3,1,1
0,3,0,0.015713,0,S,1,2,1,1
0,3,1,0.035134,0,S,4,2,2,1
1,3,1,0.021942,0,C,4,1,1,1
0,3,1,0.018494,0,S,4,3,1,1
0,2,1,0.040989,0,S,5,2,1,1
0,3,0,0.015412,0,C,1,3,1,1
1,2,1,0.081157,0,C,5,1,1,1
1,3,1,0.015379,0,Q,4,2,1,1
0,3,0,0.015713,0,S,1,3,1,1
0,3,0,0.030254,0,Q,1,3,1,1
1,3,1,0.015127,0,Q,4,2,1,1
0,3,0,0.042315,0,C,1,3,2,1
0,3,1,0.034743,0,S,4,2,1,1
0,3,0,0.077465,0,S,1,1,3,1
0,3,0,0.015225,0,S,1,2,1,1
1,1,1,0.149765,1,C,6,4,1,1
1,2,1,0.050749,0,S,5,3,1,1
0,1,0,0.120975,1,C,3,4,1,1
1,1,0,0.069291,1,S,3,3,1,1
1,2,1,0.020495,0,S,5,2,1,1
0,3,0,0.01411,0,C,1,3,1,1
1,2,1,0.054164,0,S,5,1,1,1
0,3,0,0.091543,0,S,1,1,3,1
0,3,0,0.01411,0,C,1,2,1,1
1,1,1,0.15615,1,?,6,3,1,1
0,1,0,0.162932,1,S,3,3,1,1
0,3,0,0.054457,0,S,1,1,3,1
0,1,0,0.054107,0,C,3,3,1,1
1,3,0,0.029758,0,C,1,1,1,1
1,2,1,0.020495,1,S,5,3,1,1
0,3,0,0.015924,0,S,1,2,1,1
1,3,1,0.015469,0,S,4,2,3,1
0,3,0,0.016908,0,S,1,2,2,1
0,2,0,0.020495,0,S,2,3,1,1
0,3,1,0.091543,0,S,4,2,3,1
0,2,0,0.143462,0,S,2,2,1,1
0,3,0,0.028213,0,C,1,2,1,1
1,3,0,0.110272,0,S,1,3,1,1
0,3,0,0.014932,1,S,1,2,1,1
0,3,0,0.015412,0,S,1,3,1,1
0,3,0,0.015713,0,S,1,3,1,1
1,2,0,0.056604,0,S,2,1,1,1
1,3,1,0.02435,0,S,4,3,1,1
0,3,0,0.017567,0,S,1,2,1,1
1,3,0,0.018543,0,S,1,3,1,1
1,3,1,0.0152,0,Q,4,2,1,1
0,1,0,0.091933,0,S,3,2,1,1
1,2,1,0.020495,0,S,5,2,1,1
1,3,1,0.030937,0,S,4,3,3,1
0,3,0,0.067096,0,S,1,2,1,2
0,3,0,0.015713,0,S,1,3,1,1
1,1,1,0.513342,1,S,6,2,3,1
0,3,0,0.015713,0,S,1,2,1,1
0,3,0,0.015713,0,S,1,3,1,1
0,3,0,0.01533,0,S,1,2,1,1
0,1,0,0.119406,1,S,3,3,1,1
0,3,0,0.04016,0,S,1,2,1,1
0,3,0,0.014151,0,S,1,4,1,1
0,3,0,0.015713,0,S,1,3,1,1
0,1,0,0.06764,1,C,3,4,1,1
1,1,0,0.123667,1,C,3,2,1,1
1,2,1,0.044893,0,S,5,3,1,1
0,2,0,0.050749,0,S,2,3,1,1
0,3,1,0.015412,0,S,4,2,1,1
0,3,0,0.015412,0,S,1,3,1,1
0,1,0,0.150855,1,S,3,2,1,1
0,3,0,0.016892,0,S,1,3,1,1
0,3,0,0.015469,0,S,1,3,2,1
0,3,0,0.015412,0,S,1,2,1,1
1,3,1,0.014932,0,S,4,2,1,1
1,3,0,0.015176,0,S,1,3,1,1
0,3,0,0.015412,0,S,1,3,1,1
1,3,1,0.047138,0,Q,4,2,1,1
0,1,0,0.101497,1,S,3,3,1,1
0,3,1,0.028213,0,C,4,2,1,1
0,3,0,0.015713,0,S,1,2,1,1
0,3,1,0.019177,0,S,4,2,1,1
0,3,1,0.028221,0,C,4,2,1,1
0,3,0,0.015469,0,S,1,2,1,1
0,3,0,0.015127,0,Q,1,4,1,1
0,2,0,0.040989,0,S,2,3,1,1
0,1,0,0.483128,1,C,3,2,1,1
0,3,1,0.061045,0,S,4,1,3,1
0,2,0,0.143462,0,S,2,2,2,1
0,3,0,0.015713,0,S,1,3,1,1
0,2,0,0.058694,0,C,2,3,1,1
1,2,1,0.025374,1,S,5,3,1,1
0,1,0,0.150855,1,S,3,4,1,1
1,3,0,0.021942,0,C,1,1,1,1
0,3,0,0.015127,0,Q,1,3,1,1
